herd name;date;avg days in milk;number of cows;amount of produced milk in total;daily yield;count of milking events;count of passings;count of failures;separately milked amount;fat percent;protein percent;Lactose indication;average cell count
HAMK Mustiala opm;2019-03-02;144;60;1867.3;31.1;2.9;2.7;0;18.6;4.32;3.36;4.59;160
HAMK Mustiala opm;2019-03-01;143;60;2002.8;33.4;2.9;2.7;0.1;7.3;4.22;3.36;4.59;137
HAMK Mustiala opm;2019-02-28;142;60;2001.4;33.4;2.9;2.4;0;;4.2;3.35;4.58;133
HAMK Mustiala opm;2019-02-27;141;60;2049.9;34.2;2.8;1.7;0;6.4;4.23;3.36;4.59;122
HAMK Mustiala opm;2019-02-26;140;60;2015.8;33.6;2.9;2;0;21.6;4.28;3.36;4.59;123
HAMK Mustiala opm;2019-02-25;142;61;2055.2;33.7;2.7;1.7;0;32.7;4.22;3.36;4.59;142
HAMK Mustiala opm;2019-02-24;138;60;1943.2;32.4;2.6;1.1;0;65.9;4.16;3.37;4.59;166
HAMK Mustiala opm;2019-02-23;137;60;1979.4;33;2.8;2.1;0;47.2;4.19;3.36;4.59;178
HAMK Mustiala opm;2019-02-22;139;59;2035.4;34.5;2.8;2.2;0;78;4.13;3.35;4.59;147
HAMK Mustiala opm;2019-02-21;138;59;1963.2;33.3;2.6;1;0;48.7;4.05;3.38;4.59;136
HAMK Mustiala opm;2019-02-20;141;64;2037.2;31.8;2.5;1.5;0;24.2;4.08;3.4;4.6;144
HAMK Mustiala opm;2019-02-19;134;60;2060.4;34.3;2.6;1.3;0.1;66;3.98;3.39;4.6;141
HAMK Mustiala opm;2019-02-18;138;60;2129.2;35.5;2.6;1.5;0;30.6;4.01;3.39;4.59;133
HAMK Mustiala opm;2019-02-17;134;59;2154.5;36.5;2.7;1.5;0;18.5;3.99;3.36;4.59;127
HAMK Mustiala opm;2019-02-16;141;60;2146.9;35.8;2.7;1.5;0;38.5;4.07;3.39;;139
HAMK Mustiala opm;2019-02-15;134;58;2089;36;2.6;1.3;0;27.9;4.01;3.36;;165
HAMK Mustiala opm;2019-02-14;143;64;2108.3;32.9;2.4;1.8;0;28.6;3.97;3.38;;177
HAMK Mustiala opm;2019-02-13;138;60;2124.4;35.4;2.5;0.9;0.1;66.3;3.97;3.35;;179
HAMK Mustiala opm;2019-02-12;131;58;2075.6;35.8;2.5;1.4;0.1;27.5;3.98;3.33;4.58;154
HAMK Mustiala opm;2019-02-11;136;60;2090.3;34.8;2.5;1.4;0.1;19;4.09;3.33;4.62;160
HAMK Mustiala opm;2019-02-10;135;58;2057.9;35.5;2.6;1.2;0;35.4;4.15;3.3;4.62;253
HAMK Mustiala opm;2019-02-09;140;60;2040.7;34;2.3;0.8;0.1;55.5;4.1;3.3;4.61;219
HAMK Mustiala opm;2019-02-08;139;60;2014.3;33.6;2.6;1.2;0.1;51.4;4.2;3.28;4.6;156
HAMK Mustiala opm;2019-02-07;140;59;2035.1;34.5;2.7;2.1;0.1;32.2;4.13;3.25;4.6;149
HAMK Mustiala opm;2019-02-06;140;56;2004.2;35.8;2.8;1.5;0.1;13.5;4.15;3.22;4.6;147
HAMK Mustiala opm;2019-02-05;139;56;1897.7;33.9;2.8;2.9;0.1;21.8;4.25;3.24;4.61;183
HAMK Mustiala opm;2019-02-04;138;56;1916.5;34.2;2.8;1.6;0.1;25;4.22;3.24;4.61;151
HAMK Mustiala opm;2019-02-03;139;55;1928.1;35.1;2.8;1.6;0.1;30;4.22;3.27;4.61;131
HAMK Mustiala opm;2019-02-02;138;55;1929.4;35.1;2.8;2.4;0.1;32.4;4.14;3.29;4.61;139
HAMK Mustiala opm;2019-02-01;137;55;1982.4;36;2.9;1.6;0.1;44.3;4.12;3.28;4.61;187
HAMK Mustiala opm;2019-01-31;136;55;1971.7;35.8;3;1.9;0.1;23.4;4.16;3.28;4.61;138
HAMK Mustiala opm;2019-01-30;135;55;1998.7;36.3;3;2.5;0.1;21.1;4.16;3.3;4.61;136
HAMK Mustiala opm;2019-01-29;137;54;1972.5;36.5;3;2;0;18.9;4.12;3.27;4.61;155
HAMK Mustiala opm;2019-01-28;136;54;1913.1;35.4;2.9;2.5;0;27.4;4.12;3.29;4.61;104
HAMK Mustiala opm;2019-01-27;142;59;2036.1;34.5;2.7;1.8;0.1;24.6;4.12;3.27;4.59;71
HAMK Mustiala opm;2019-01-26;141;59;2073.4;35.1;2.6;0.8;0;33.8;4.06;3.23;4.58;144
HAMK Mustiala opm;2019-01-25;140;59;1952.8;33.1;2.6;1.2;0.1;15.3;4.16;3.25;4.59;199
HAMK Mustiala opm;2019-01-24;142;58;1973.4;34;2.7;1.7;0.1;11;4.14;3.26;4.59;164
HAMK Mustiala opm;2019-01-23;141;58;2138.1;36.9;2.7;1.1;0;9.4;4.03;3.31;4.6;174
HAMK Mustiala opm;2019-01-22;140;58;2139.5;36.9;2.6;0.8;0.1;52.8;4.07;3.34;4.61;188
HAMK Mustiala opm;2019-01-21;139;58;1806;31.1;2.5;1.8;0.1;46.7;4.12;3.31;4.6;167
HAMK Mustiala opm;2019-01-20;138;58;2098.9;36.2;2.9;1.6;0.1;28.3;4.18;3.33;4.62;211
HAMK Mustiala opm;2019-01-19;137;58;2049.6;35.3;2.7;1.6;0.1;10.5;4.1;3.35;4.62;208
HAMK Mustiala opm;2019-01-18;136;58;2086.7;36;2.8;1.5;0.1;;4.08;3.31;4.61;157
HAMK Mustiala opm;2019-01-17;135;58;2092.8;36.1;2.8;1.1;0;;4.17;3.31;4.62;134
HAMK Mustiala opm;2019-01-16;134;58;2058.7;35.5;2.9;1.9;0;17.9;4.16;3.32;4.62;153
HAMK Mustiala opm;2019-01-15;133;58;2078.3;35.8;2.7;1.4;0;14.6;4.09;3.3;4.62;140
HAMK Mustiala opm;2019-01-14;132;58;2080.7;35.9;2.8;1.6;0.1;21.3;4.21;3.3;4.62;113
HAMK Mustiala opm;2019-01-13;134;59;2046.5;34.7;2.7;1.5;0;37.2;4.13;3.31;4.6;121
HAMK Mustiala opm;2019-01-12;130;58;2056.7;35.5;2.7;1.7;0;9.9;4.08;3.34;4.59;147
HAMK Mustiala opm;2019-01-11;130;59;1979.2;33.5;2.7;1.6;0;29.4;4.13;3.35;4.59;199
HAMK Mustiala opm;2019-01-10;128;58;2017.6;34.8;2.7;1.8;0.1;35.3;4.09;3.36;4.6;210
HAMK Mustiala opm;2019-01-09;138;62;2081.1;33.6;2.5;1;0;36;4.13;3.37;4.59;114
HAMK Mustiala opm;2019-01-08;135;64;1978.9;30.9;2.3;1;0;48;4.1;3.38;4.59;132
HAMK Mustiala opm;2019-01-07;134;64;2120.3;33.1;2.5;1.1;0;3.6;4.08;3.36;4.6;158
HAMK Mustiala opm;2019-01-06;136;63;2086.3;33.1;2.5;1.1;0;25.6;4.14;3.34;4.6;109
HAMK Mustiala opm;2019-01-05;141;65;2083.2;32;2.4;1.1;0;8.4;4.24;3.33;4.62;127
HAMK Mustiala opm;2019-01-04;134;63;2011.8;31.9;2.5;0.8;0;20.7;4.21;3.33;4.64;188
HAMK Mustiala opm;2019-01-03;139;65;2085.4;32.1;2.5;1.4;0;61.4;4.24;3.32;4.65;124
HAMK Mustiala opm;2019-01-02;132;63;2050.6;32.5;2.5;1.3;0.2;70.2;4.14;3.31;4.64;143
HAMK Mustiala opm;2019-01-01;137;65;2057.7;31.7;2.5;1.3;0;48.4;4.16;3.23;4.63;146
